hanger_id,case,model,hanger_type,global_dof,physical_test_direction,l_m,r_m,l_over_r,test_domain_min,test_domain_max,domain_status,pipe_axis_global,coordinate_evidence
OLBA22BQ004,case_E,PE/source,摆_z_TB+CSBD+CSB,Ux,SR shared axial calibration,1.4169999999999998,0.031,45.70967741935483,45.0,337.125,in_domain,y,"nearest line_pipe_1-1 element 226; tangent=[0.0, 0.999950044, 0.009995492]"
OLBA22BQ004,case_E,PE/source,摆_z_TB+CSBD+CSB,Uy,SR shared axial calibration,1.4169999999999998,0.031,45.70967741935483,45.0,337.125,in_domain,y,"nearest line_pipe_1-1 element 226; tangent=[0.0, 0.999950044, 0.009995492]"
OLBA22BQ005,case_E,PE/source,摆_z_TB+CSBD+CSB,Ux,SR shared axial calibration,2.507,0.031,80.87096774193549,45.0,337.125,in_domain,x,"nearest line_pipe_1-1 element 174; tangent=[0.999949977, 0.0, 0.010002184]"
OLBA22BQ005,case_E,PE/source,摆_z_TB+CSBD+CSB,Uy,SR shared axial calibration,2.507,0.031,80.87096774193549,45.0,337.125,in_domain,x,"nearest line_pipe_1-1 element 174; tangent=[0.999949977, 0.0, 0.010002184]"
OLBA22BQ006,case_E,PE/source,摆_z_CA,Ux,CA shared translation,1.119,0.018,62.16666666666667,92.375,292.25,out_of_domain,z,"nearest line_pipe_1-1 element 103; tangent=[0.0, 0.0, 1.0]"
OLBA22BQ006,case_E,PE/source,摆_z_CA,Uy,CA shared translation,1.119,0.018,62.16666666666667,92.375,292.25,out_of_domain,z,"nearest line_pipe_1-1 element 103; tangent=[0.0, 0.0, 1.0]"
OLBA32BQ024,case_E,PE/source,摆_z_TB+CSBD+CSB,Ux,SR shared axial calibration,1.394,0.012,116.16666666666666,45.0,337.125,in_domain,y,"nearest line_pipe_1-1 element 2903; tangent=[0.0, 0.999950004, 0.0099995]"
OLBA32BQ024,case_E,PE/source,摆_z_TB+CSBD+CSB,Uy,SR shared axial calibration,1.394,0.012,116.16666666666666,45.0,337.125,in_domain,y,"nearest line_pipe_1-1 element 2903; tangent=[0.0, 0.999950004, 0.0099995]"
OLBA32BQ022,case_E,PE/source,摆_z_TB+CSBD+CSB,Ux,SR shared axial calibration,1.297,0.0075,172.93333333333334,45.0,337.125,in_domain,x,"nearest line_pipe_1-1 element 3036; tangent=[0.999887586, 0.0, 0.014993849]"
OLBA32BQ022,case_E,PE/source,摆_z_TB+CSBD+CSB,Uy,SR shared axial calibration,1.297,0.0075,172.93333333333334,45.0,337.125,in_domain,x,"nearest line_pipe_1-1 element 3036; tangent=[0.999887586, 0.0, 0.014993849]"
