exp_id,mode,fit_group,m,l,r,f_exp_compare6,f_exp_h5,freq_source_status,fit_status
TB_07_A,axial,OTHERS,417.74,0.778,0.008,0.6099,nan,compare6_only,used_in_fit
TB_07_A,planar_rotation,OTHERS,417.74,0.778,0.008,0.6965,nan,compare6_only,used_in_fit
TB_07_A,radial,OTHERS,417.74,1.168,0.008,0.4682,nan,compare6_only,used_in_fit
TB_07_R,axial,OTHERS,417.74,0.778,0.008,0.6095,0.609499990940094,both,used_in_fit
TB_07_R,planar_rotation,OTHERS,417.74,0.778,0.008,0.6962,0.6962000131607056,both,used_in_fit
TB_07_R,radial,OTHERS,417.74,1.168,0.008,0.4677,0.4677000045776367,both,used_in_fit
TB_07_Top_A,axial,OTHERS,451.94,1.038,0.008,0.5628,0.5627999901771545,both,used_in_fit
TB_07_Top_A,planar_rotation,OTHERS,451.94,1.038,0.008,0.599,0.5989999771118164,both,used_in_fit
TB_07_Top_A,radial,OTHERS,451.94,1.428,0.008,0.4256,0.42559999227523804,both,used_in_fit
TB_07_Top_R,axial,OTHERS,451.94,1.038,0.008,0.5294,0.5293999910354614,both,used_in_fit
TB_07_Top_R,planar_rotation,OTHERS,451.94,1.038,0.008,0.5712,0.5712000131607056,both,used_in_fit
TB_07_Top_R,radial,OTHERS,451.94,1.428,0.008,0.4224,0.42239999771118164,both,used_in_fit
TB_13+07_MidTop_AA,axial,OTHERS,486.14,2.697,0.008,0.3168,0.31679999828338623,both,used_in_fit
TB_13+07_MidTop_AA,planar_rotation,OTHERS,486.14,2.697,0.008,0.3558,0.35580000281333923,both,used_in_fit
TB_13+07_MidTop_AA,radial,OTHERS,486.14,3.087,0.008,0.2879,0.28790000081062317,both,used_in_fit
TB_13+07_MidTop_AR,axial,OTHERS,486.14,2.697,0.008,0.3147,0.31470000743865967,both,used_in_fit
TB_13+07_MidTop_AR,planar_rotation,OTHERS,486.14,2.697,0.008,0.3534,0.35339999198913574,both,used_in_fit
TB_13+07_MidTop_AR,radial,OTHERS,486.14,3.087,0.008,0.2868,0.28679999709129333,both,used_in_fit
TB_13+07_MidTop_RA,axial,OTHERS,486.14,2.697,0.008,0.3168,0.31679999828338623,both,used_in_fit
TB_13+07_MidTop_RA,planar_rotation,OTHERS,486.14,2.697,0.008,0.3535,0.35350000858306885,both,used_in_fit
TB_13+07_MidTop_RA,radial,OTHERS,486.14,3.087,0.008,0.2873,0.2872999906539917,both,used_in_fit
TB_13+07_MidTop_RR,axial,OTHERS,486.14,2.697,0.008,0.3133,0.3133000135421753,both,used_in_fit
TB_13+07_MidTop_RR,planar_rotation,OTHERS,486.14,2.697,0.008,0.3526,0.35260000824928284,both,used_in_fit
TB_13+07_MidTop_RR,radial,OTHERS,486.14,3.087,0.008,0.2874,0.2874000072479248,both,used_in_fit
TB_13+07_Mid_AA,axial,OTHERS,451.94,2.437,0.008,0.3263,0.3262999951839447,both,used_in_fit
