exp_id,mode,fit_group,m,l,r,f_exp_compare6,f_exp_h5,f_exp_used,f_pend,f_fit,fit_used,err_abs_hz,err_rel,A_mode,B_mode
TB_07+13_MidTop_AR,axial,OTHERS,486.14,2.697,0.008,0.3105,0.31049999594688416,0.3105,0.3035387645190514,0.31442071891574597,True,0.003920718915745969,0.012627114060373491,4.11240407930609,0.30735680658145115
TB_07+13_MidTop_RA,axial,OTHERS,486.14,2.697,0.008,0.3173,0.3172999918460846,0.3173,0.3035387645190514,0.31442071891574597,True,0.0028792810842540595,0.009074317945962997,4.11240407930609,0.30735680658145115
TB_07+13_MidTop_RR,axial,OTHERS,486.14,2.697,0.008,0.3189,0.3188999891281128,0.3189,0.3035387645190514,0.31442071891574597,True,0.00447928108425405,0.014046036639241297,4.11240407930609,0.30735680658145115
TB_13+07_MidTop_AA,axial,OTHERS,486.14,2.697,0.008,0.3168,0.31679999828338623,0.3168,0.3035387645190514,0.31442071891574597,True,0.002379281084254059,0.007510356957872661,4.11240407930609,0.30735680658145115
TB_13+07_MidTop_AR,axial,OTHERS,486.14,2.697,0.008,0.3147,0.31470000743865967,0.3147,0.3035387645190514,0.31442071891574597,True,0.00027928108425401277,0.0008874518088783374,4.11240407930609,0.30735680658145115
TB_13+07_MidTop_RA,axial,OTHERS,486.14,2.697,0.008,0.3168,0.31679999828338623,0.3168,0.3035387645190514,0.31442071891574597,True,0.002379281084254059,0.007510356957872661,4.11240407930609,0.30735680658145115
TB_13+07_MidTop_RR,axial,OTHERS,486.14,2.697,0.008,0.3133,0.3133000135421753,0.3133,0.3035387645190514,0.31442071891574597,True,0.001120718915745944,0.0035771430441938843,4.11240407930609,0.30735680658145115
CSBD_07_A,axial,OTHERS,435.693,0.7,0.0125,0.69619,0.6961899995803833,0.69619,0.595807019191897,0.666947615787993,True,0.029242384212006978,0.04200345338486186,4.11240407930609,0.30735680658145115
CSBD_07_R,axial,OTHERS,435.693,0.7,0.0125,0.7128,0.7128000259399414,0.7128,0.595807019191897,0.666947615787993,True,0.04585238421200699,0.06432713834456649,4.11240407930609,0.30735680658145115
CSBD_13_A,axial,OTHERS,435.793,1.3,0.0125,0.4763,0.4763000011444092,0.4763,0.4372028246819454,0.4718592485943518,True,0.004440751405648202,0.009323433562141933,4.11240407930609,0.30735680658145115
CSBD_13_R,axial,OTHERS,435.793,1.3,0.0125,0.4774,0.477400004863739,0.4774,0.4372028246819454,0.4718592485943518,True,0.005540751405648192,0.011606098461768312,4.11240407930609,0.30735680658145115
CSB_07_A,axial,OTHERS,491.0,0.81,0.018,0.5873,0.5873000025749207,0.5873,0.5538754627625344,0.6301653488090965,True,0.042865348809096426,0.07298714253208995,4.11240407930609,0.30735680658145115
CSB_07_R,axial,OTHERS,491.0,0.81,0.018,0.5786,0.5785999894142151,0.5786,0.5538754627625344,0.6301653488090965,True,0.05156534880909647,0.08912089320618125,4.11240407930609,0.30735680658145115
CSB_13_A,axial,OTHERS,491.0,1.41,0.018,0.4291,0.42910000681877136,0.4291,0.419802556497368,0.45997991744372213,True,0.03087991744372215,0.07196438462764426,4.11240407930609,0.30735680658145115
CSB_13_R,axial,OTHERS,491.0,1.41,0.018,0.4405,0.4404999911785126,0.4405,0.419802556497368,0.45997991744372213,True,0.019479917443722128,0.044222287045907215,4.11240407930609,0.30735680658145115
CA_07_A,planar_rotation,CA,488.2,0.739,0.008,0.7888,0.7888000011444092,0.7888,0.5798723704505615,0.8018807220166867,True,0.013080722016686752,0.016583065436976106,26080.005189614316,-1.2128518542122262
CA_07_R,planar_rotation,CA,488.2,0.739,0.008,0.801,0.8009999990463257,0.801,0.5798723704505615,0.8018807220166867,True,0.0008807220166866525,0.0010995281107199157,26080.005189614316,-1.2128518542122262
CA_13_A,planar_rotation,CA,488.2,1.339,0.008,0.5939,0.5939000248908997,0.5939,0.43078874365525127,0.5785860170011822,True,0.01531398299881781,0.025785457145677405,26080.005189614316,-1.2128518542122262
CA_13_R,planar_rotation,CA,488.2,1.339,0.008,0.549,0.5490000247955322,0.549,0.43078874365525127,0.5785860170011822,True,0.02958601700118213,0.05389074135005852,26080.005189614316,-1.2128518542122262
CA_07_Top_A,planar_rotation,CA,556.6,0.999,0.008,0.7112,0.7111999988555908,0.7112,0.49873734753340665,0.6763518022535338,True,0.0348481977464663,0.04899915318681988,26080.005189614316,-1.2128518542122262
CA_07_Top_R,planar_rotation,CA,556.6,0.999,0.008,0.6606,0.6606000065803528,0.6606,0.49873734753340665,0.6763518022535338,True,0.015751802253533786,0.023844690059845273,26080.005189614316,-1.2128518542122262
CA_13_Top_A,planar_rotation,CA,556.6,1.599,0.008,0.5654,0.5654000043869019,0.5654,0.3942125112065391,0.5228545832788842,True,0.04254541672111578,0.07524834934756948,26080.005189614316,-1.2128518542122262
CA_13_Top_R,planar_rotation,CA,556.6,1.599,0.008,0.5612,0.5612000226974487,0.5612,0.3942125112065391,0.5228545832788842,True,0.0383454167211158,0.06832754226855986,26080.005189614316,-1.2128518542122262
CA_07+13_Mid_AA,planar_rotation,CA,556.6,2.338,0.008,0.4118,0.41179999709129333,0.4118,0.32601109607798334,0.42508774093016044,True,0.013287740930160441,0.03226746219077329,26080.005189614316,-1.2128518542122262
CA_07+13_Mid_AR,planar_rotation,CA,556.6,2.338,0.008,0.4035,0.4034999907016754,0.4035,0.32601109607798334,0.42508774093016044,True,0.021587740930160415,0.053501216679455794,26080.005189614316,-1.2128518542122262
CA_07+13_Mid_RA,planar_rotation,CA,556.6,2.338,0.008,0.4039,0.40389999747276306,0.4039,0.32601109607798334,0.42508774093016044,True,0.02118774093016046,0.05245788791819871,26080.005189614316,-1.2128518542122262
CA_07+13_Mid_RR,planar_rotation,CA,556.6,2.338,0.008,0.3994,0.399399995803833,0.3994,0.32601109607798334,0.42508774093016044,True,0.025687740930160463,0.06431582606449791,26080.005189614316,-1.2128518542122262
