mode,exp_id,support_type,l_m,r_m,pi_l,pi_k_exp,pi_k_pred_TB,pi_k_pred_ALL,f_exp,f_pred_TB,f_pred_ALL,rel_error_TB,rel_error_ALL
radial,CSB_07_R,CSB,1.445,0.018,80.27777777777779,-0.3045230399075652,0.03831222899262979,8.412651620815796,0.4139,0.414786219818227,0.435874457218339,-1.1258106086300042,-28.625665445114986
radial,CSB_13_A,CSB,2.045,0.018,113.61111111111111,-0.055025439923265994,0.12636826432580264,7.597722405416635,0.3485,0.34877823467415997,0.36005157198833027,-3.2965425538083033,-139.07654088748407
radial,CSB_13_R,CSB,2.045,0.018,113.61111111111111,1.1865510786149607,0.12636826432580264,7.597722405416635,0.3504,0.34877823467415997,0.36005157198833027,-0.8934995158629749,5.403198768556442
axial,CA_07_A,CA,0.739,0.008,92.375,38.912304836697075,20.733177719399183,16.52807674033532,0.6913,0.6416559018683311,0.6296152886734908,-0.46718196708188,-0.5752480658830529
axial,CA_07_R,CA,0.739,0.008,92.375,38.87432485430034,20.733177719399183,16.52807674033532,0.6912,0.6416559018683311,0.6296152886734908,-0.4666614070570631,-0.5748330857890911
axial,CA_13_A,CA,1.339,0.008,167.375,43.11718259527875,22.022565020111855,19.84093890663911,0.4831,0.45825398196916917,0.4556070775748692,-0.4892392384069342,-0.5398368420108308
axial,CA_13_R,CA,1.339,0.008,167.375,34.40781565799676,22.022565020111855,19.84093890663911,0.473,0.45825398196916917,0.4556070775748692,-0.35995457430342376,-0.4233595325012195
axial,CA_07_Top_A,CA,0.999,0.008,124.875,43.484973478823235,21.37740434634869,18.132671611619504,0.5791,0.5397412963989515,0.5337204069066575,-0.5083955988438332,-0.5830129315716396
axial,CA_07_Top_R,CA,0.999,0.008,124.875,34.423329397419735,21.37740434634869,18.132671611619504,0.5633,0.5397412963989515,0.5337204069066575,-0.37898498720024815,-0.47324468815097614
axial,CA_13_Top_A,CA,1.599,0.008,199.875,43.052742202005504,22.422841826683012,20.953161452058918,0.4346,0.4157371057369649,0.4143605428980188,-0.47917738383599406,-0.5133141263396024
